timestamp,table_1,table_2,table_3,table_4,table_5,table_6
07-03-2026 13:45:35,0,0,0,0,0,0
07-03-2026 13:45:36,0,0,0,0,0,0
07-03-2026 13:45:37,0,0,0,0,0,0
07-03-2026 13:45:38,0,0,0,0,0,0
07-03-2026 13:45:39,0,0,0,0,0,0
07-03-2026 13:45:40,0,0,0,0,0,0
07-03-2026 13:45:41,0,0,0,0,0,0
07-03-2026 13:45:42,0,0,0,0,0,0
07-03-2026 13:45:43,0,0,0,0,0,0
07-03-2026 13:45:44,0,0,0,0,0,0
07-03-2026 13:45:45,0,0,0,0,0,0
07-03-2026 13:45:46,0,0,0,0,0,0
07-03-2026 13:45:47,0,0,0,0,0,0
07-03-2026 13:45:48,0,0,0,0,0,0
07-03-2026 13:45:49,0,0,0,0,0,0
07-03-2026 13:45:50,0,0,0,0,0,0
07-03-2026 13:45:51,0,0,0,0,0,0
07-03-2026 13:45:52,0,0,0,0,0,0
07-03-2026 13:45:53,0,0,0,0,0,0
07-03-2026 13:45:54,0,0,0,0,0,0
07-03-2026 13:45:55,0,0,0,0,0,0
07-03-2026 13:45:57,0,0,0,0,0,0
07-03-2026 13:45:58,0,0,0,0,0,0
07-03-2026 13:45:59,0,0,0,0,0,0
07-03-2026 13:46:00,0,0,0,0,0,0
07-03-2026 13:46:01,0,0,0,0,0,0
07-03-2026 13:46:02,0,0,0,0,0,0
07-03-2026 13:46:03,0,0,0,0,0,0
07-03-2026 13:46:04,0,0,0,0,0,0
07-03-2026 13:46:05,0,0,0,0,0,0
07-03-2026 13:46:06,0,0,0,0,0,0
07-03-2026 13:46:07,0,0,0,0,0,0
07-03-2026 13:46:08,0,0,0,0,0,0
07-03-2026 13:46:09,0,0,0,0,0,0
07-03-2026 13:46:10,0,0,0,0,0,0
07-03-2026 13:46:11,0,0,0,0,0,0
07-03-2026 13:46:12,0,0,0,0,0,0
07-03-2026 13:46:13,0,0,0,0,0,0
07-03-2026 13:46:14,0,0,0,0,0,0
07-03-2026 13:46:15,0,0,0,0,0,0
07-03-2026 13:46:16,0,0,0,0,0,0
07-03-2026 13:46:17,0,0,0,0,0,0
